읍면동,-1,위도,경도
상도제3동,-1,37.512462,126.939485
상도제4동,-1,37.512462,126.939485
흑석동,24.77,37.505492,126.962317
사당제1동,-1,37.512462,126.939485
사당제2동,-1,37.512462,126.939485
사당제3동,-1,37.512462,126.939485
사당제4동,-1,37.512462,126.939485
사당제5동,-1,37.512462,126.939485
대방동,21.11,37.506879,126.927994
신대방제1동,-1,37.512462,126.939485
신대방제2동,-1,37.512462,126.939485
보라매동,19.53,37.488208,126.932761
청림동,29.05,37.491928,126.958841
성현동,19.3,37.489708,126.948322
행운동,21.19,37.480738,126.95695
낙성대동,25.55,37.476281,126.958369
청룡동,30.91,37.479143,126.941675
은천동,24.24,37.485376,126.942503
중앙동,23.4,37.484016,126.949645
인헌동,20.99,37.475126,126.965259
남현동,26.22,37.464115,126.977754
서원동,18.98,37.479662,126.931311
신원동,19.02,37.481698,126.927268
서림동,28.02,37.475037,126.934972
신사동,24.85,37.485479,126.918044
신림동,26.21,37.463204,126.935795
난향동,20.48,37.461554,126.918807
조원동,25.9,37.482592,126.907808
대학동,20.29,37.470593,126.936855
삼성동,28.61,37.470135,126.933007
미성동,41.68,37.476348,126.915677
난곡동,24.05,37.471024,126.921689
서초1동,24.18,37.490077,127.019534
서초2동,21.53,37.492051,127.025083
서초3동,21.87,37.483594,127.012518
서초4동,20.21,37.502624,127.022175
잠원동,25.07,37.515102,127.009083
반포본동,34.48,37.50049,126.986012
반포1동,22.3,37.505136,127.013354
반포2동,25.88,37.504644,126.994495
반포3동,22.59,37.512027,127.005572
반포4동,20.29,37.498651,126.995469
방배본동,22.87,37.494151,126.988688
방배1동,22.85,37.483406,126.994486
방배2동,22.9,37.479887,126.985499
방배3동,20.26,37.480255,126.999028
방배4동,20.66,37.489624,126.991383
양재1동,28.31,37.471701,127.02675
양재2동,29.15,37.47062,127.041076
내곡동,25.76,37.458154,127.076727
신사동,-1,37.523807,127.026492
논현1동,30.91,37.511498,127.028552
논현2동,24.14,37.517353,127.037164
압구정동,20.92,37.530734,127.028461
청담동,23.93,37.524399,127.050457
삼성1동,24.7,37.514315,127.062824
삼성2동,20.61,37.511399,127.046255
대치1동,20.92,37.493236,127.056687
대치2동,23.14,37.502252,127.064162
대치4동,17.3,37.49975,127.057747
역삼1동,19.06,37.495361,127.033058
역삼2동,20.85,37.49604,127.04679
도곡1동,19.93,37.490945,127.038475
도곡2동,20.63,37.483818,127.046346
개포1동,25.43,37.481925,127.057439
개포2동,25.81,37.489766,127.069056
개포4동,24.39,37.478833,127.051599
세곡동,24.56,37.464369,127.104583
일원본동,21,37.48336,127.08648
일원1동,32.8,37.491887,127.087982
일원2동,27.34,37.492172,127.073696
수서동,27.3,37.485881,127.096706
풍납1동,31.66,37.538055,127.122215
풍납2동,29.65,37.528779,127.116814
거여1동,28.92,37.496923,127.143302
거여2동,17.67,37.493534,127.146891
마천1동,22.44,37.496025,127.149894
마천2동,20.17,37.49688,127.148538
방이1동,25.36,37.511009,127.123923
방이2동,29.21,37.514596,127.114379
오륜동,23.05,37.515538,127.134424
오금동,26.24,37.50401,127.134003
송파1동,23.38,37.50609,127.109571
송파2동,22.12,37.502323,127.116741
석촌동,23.55,37.50273,127.102497
삼전동,34.42,37.501901,127.091876
가락본동,19.43,37.495585,127.12183
가락1동,27.3,37.496537,127.105726
가락2동,21.36,37.498639,127.126488
문정1동,20.1,37.490024,127.124055
문정2동,26.16,37.48989,127.110917
장지동,23.89,37.477368,127.131914
위례동,24.69,37.481576,127.140424
잠실본동,25.28,37.506167,127.084325
잠실2동,32.02,37.511956,127.088281
잠실3동,24.7,37.513354,127.094316
잠실4동,23.98,37.520419,127.112285
잠실6동,26.02,37.518133,127.100683
잠실7동,24.62,37.508661,127.07709
강일동,-1,37.567438,127.173364
상일동,-1,37.550583,127.168797
명일제1동,-1,37.53012,127.123858
명일제2동,-1,37.53012,127.123858
고덕제1동,-1,37.53012,127.123858
고덕제2동,-1,37.53012,127.123858
암사제1동,-1,37.53012,127.123858
암사제2동,-1,37.53012,127.123858
암사제3동,-1,37.53012,127.123858
천호제1동,-1,37.53012,127.123858
천호제2동,-1,37.53012,127.123858
천호제3동,-1,37.53012,127.123858
성내제1동,-1,37.53012,127.123858
성내제2동,-1,37.53012,127.123858
성내제3동,-1,37.53012,127.123858
길동,23.51,37.539616,127.145914
둔촌제1동,-1,37.53012,127.123858
둔촌제2동,-1,37.53012,127.123858
중앙동,-1,35.101324,129.035325
동광동,25.28,35.105008,129.034571
대청동,53.01,35.104262,129.031085
보수동,23.04,35.103769,129.02543
부평동,19.95,35.100362,129.026528
광복동,20.15,35.100004,129.030395
남포동,24.53,35.09737,129.031678
영주제1동,-1,35.106333,129.032372
영주제2동,-1,35.106333,129.032372
동대신제1동,-1,35.097689,129.023906
동대신제2동,-1,35.097689,129.023906
동대신제3동,-1,35.097689,129.023906
서대신제1동,-1,35.097689,129.023906
서대신제3동,-1,35.097689,129.023906
서대신제4동,-1,35.097689,129.023906
부민동,20.51,35.10381,129.018498
아미동,22.37,35.100177,129.015316
초장동,25.23,35.094146,129.017479
충무동,31.34,35.098023,129.021651
남부민제1동,-1,35.097689,129.023906
남부민제2동,-1,35.097689,129.023906
암남동,26.69,35.071221,129.014508
초량제1동,-1,35.129298,129.045302
초량제2동,-1,35.129298,129.045302
초량제3동,-1,35.129298,129.045302
초량제6동,-1,35.129298,129.045302
수정제1동,-1,35.129298,129.045302
수정제2동,-1,35.129298,129.045302
수정제4동,-1,35.129298,129.045302
수정제5동,-1,35.129298,129.045302
좌천동,33.61,35.129727,129.053086
범일제1동,-1,35.129298,129.045302
범일제2동,-1,35.129298,129.045302
범일제5동,-1,35.129298,129.045302
남항동,24.73,35.089974,129.037595
영선제1동,-1,35.091224,129.067945
영선제2동,-1,35.091224,129.067945
신선동,24.75,35.083356,129.045132
봉래제1동,-1,35.091224,129.067945
봉래제2동,-1,35.091224,129.067945
청학제1동,-1,35.091224,129.067945
청학제2동,-1,35.091224,129.067945
동삼제1동,-1,35.091224,129.067945
동삼제2동,-1,35.091224,129.067945
동삼제3동,-1,35.091224,129.067945
부전제1동,-1,35.162943,129.053097
부전제2동,-1,35.162943,129.053097
연지동,25.2,35.171836,129.053486
초읍동,23.7,35.185774,129.040666
양정제1동,-1,35.162943,129.053097
양정제2동,-1,35.162943,129.053097
전포제1동,-1,35.162943,129.053097
전포제2동,-1,35.162943,129.053097
부암제1동,-1,35.162943,129.053097
부암제3동,-1,35.162943,129.053097
당감제1동,23.18,35.162943,129.053097
당감제2동,-1,35.162943,129.053097
당감제4동,-1,35.162943,129.053097
가야제1동,31.4,35.162943,129.053097
가야제2동,-1,35.162943,129.053097
개금제1동,-1,35.162943,129.053097
개금제2동,-1,35.162943,129.053097
개금제3동,-1,35.162943,129.053097
범천제1동,-1,35.162943,129.053097
범천제2동,-1,35.162943,129.053097
수민동,22.11,35.196021,129.091035
복산동,21.03,35.205845,129.086158
명륜동,42.74,35.210939,129.085073
온천제1동,-1,35.205011,129.083632
온천제2동,-1,35.205011,129.083632
온천제3동,-1,35.205011,129.083632
사직제1동,-1,35.205011,129.083632
사직제2동,-1,35.205011,129.083632
사직제3동,-1,35.205011,129.083632
안락제1동,-1,35.205011,129.083632
안락제2동,-1,35.205011,129.083632
명장제1동,-1,35.205011,129.083632
명장제2동,-1,35.205011,129.083632
대연제1동,-1,35.136318,129.084477
대연제3동,-1,35.136318,129.084477
대연제4동,-1,35.136318,129.084477
대연제5동,-1,35.136318,129.084477
대연제6동,-1,35.136318,129.084477
용호제1동,-1,35.136318,129.084477
용호제2동,-1,35.136318,129.084477
용호제3동,-1,35.136318,129.084477
용호제4동,-1,35.136318,129.084477
용당동,29.09,35.113097,129.09764
감만제1동,-1,35.136318,129.084477
감만제2동,-1,35.136318,129.084477
우암동,28.14,35.126039,129.075805
문현제1동,-1,35.136318,129.084477
문현제2동,-1,35.136318,129.084477
문현제3동,-1,35.136318,129.084477
문현제4동,-1,35.136318,129.084477
구포제1동,-1,35.197266,128.990201
구포제2동,-1,35.197266,128.990201
구포제3동,-1,35.197266,128.990201
금곡동,26.8,35.26173,129.023141
화명제1동,-1,35.197266,128.990201
화명제2동,-1,35.197266,128.990201
화명제3동,-1,35.197266,128.990201
덕천제1동,-1,35.197266,128.990201
덕천제2동,-1,35.197266,128.990201
덕천제3동,-1,35.197266,128.990201
만덕제1동,-1,35.197266,128.990201
만덕제2동,-1,35.197266,128.990201
만덕제3동,-1,35.197266,128.990201
우제1동,-1,35.163096,129.1635
우제2동,-1,35.163096,129.1635
우제3동,-1,35.163096,129.1635
중제1동,-1,35.163096,129.1635
중제2동,-1,35.163096,129.1635
좌제1동,-1,35.163096,129.1635
좌제2동,-1,35.163096,129.1635
좌제3동,-1,35.163096,129.1635
좌제4동,-1,35.163096,129.1635
송정동,-1,35.184732,129.197405
반여제1동,-1,35.163096,129.1635
반여제2동,-1,35.163096,129.1635
반여제3동,-1,35.163096,129.1635
반여제4동,-1,35.163096,129.1635
반송제1동,-1,35.163096,129.1635
반송제2동,-1,35.163096,129.1635
재송제1동,-1,35.163096,129.1635
재송제2동,-1,35.163096,129.1635
괴정제1동,-1,35.104503,128.974786
괴정제2동,-1,35.104503,128.974786
괴정제3동,-1,35.104503,128.974786
괴정제4동,-1,35.104503,128.974786
당리동,21.4,35.112368,128.983128
하단제1동,-1,35.104503,128.974786
하단제2동,-1,35.104503,128.974786
신평제1동,-1,35.104503,128.974786
신평제2동,-1,35.104503,128.974786
장림제1동,-1,35.104503,128.974786
장림제2동,-1,35.104503,128.974786
다대제1동,-1,35.104503,128.974786
다대제2동,-1,35.104503,128.974786
구평동,28.1,35.074089,128.99041
감천제1동,-1,35.104503,128.974786
감천제2동,-1,35.104503,128.974786
서제1동,-1,35.243036,129.092125
서제2동,-1,35.243036,129.092125
서제3동,-1,35.243036,129.092125
금사회동동,33.76,35.243036,129.092125
부곡제1동,-1,35.243036,129.092125
부곡제2동,-1,35.243036,129.092125
부곡제3동,-1,35.243036,129.092125
부곡제4동,-1,35.243036,129.092125
장전제1동,-1,35.243036,129.092125
장전제2동,-1,35.243036,129.092125
장전제3동,-1,35.243036,129.092125
선두구동,42.17,35.298286,129.113339
청룡노포동,35.12,35.27529,129.089832
남산동,24.62,35.268027,129.080558
구서제1동,-1,35.243036,129.092125
구서제2동,-1,35.243036,129.092125
금성동,26.71,35.254083,129.053901
대저1동,39.89,35.211081,128.966063
대저2동,36.58,35.160482,128.942612
강동동,34.94,35.18047,128.918612
명지1동,28.29,35.111067,128.91678
명지2동,24.13,35.08931,128.917501
가락동,48.81,35.196398,128.901804
녹산동,32.11,35.11714,128.88059
가덕도동,37.31,35.212155,128.980552
거제제1동,-1,35.176273,129.079814
거제제2동,-1,35.176273,129.079814
거제제3동,-1,35.176273,129.079814
거제제4동,-1,35.176273,129.079814
연산제1동,-1,35.176273,129.079814
연산제2동,-1,35.176273,129.079814
연산제3동,-1,35.176273,129.079814
연산제4동,-1,35.176273,129.079814
연산제5동,-1,35.176273,129.079814
연산제6동,-1,35.176273,129.079814
연산제8동,-1,35.176273,129.079814
연산제9동,-1,35.176273,129.079814
남천제1동,-1,35.145568,129.113132
남천제2동,-1,35.145568,129.113132
수영동,22.05,35.170459,129.117621
망미제1동,-1,35.145568,129.113132
망미제2동,-1,35.145568,129.113132
광안제1동,-1,35.145568,129.113132
광안제2동,-1,35.145568,129.113132
광안제3동,-1,35.145568,129.113132
광안제4동,-1,35.145568,129.113132
민락동,22.82,35.159804,129.125531
삼락동,39.44,35.175084,128.972268
모라제1동,-1,35.152585,128.991196
모라제3동,-1,35.152585,128.991196
덕포제1동,-1,35.152585,128.991196
덕포제2동,-1,35.152585,128.991196
괘법동,23.76,35.166126,128.993127
감전동,26.34,35.150242,128.979018
주례제1동,-1,35.152585,128.991196
주례제2동,-1,35.152585,128.991196
주례제3동,-1,35.152585,128.991196
학장동,25.65,35.137705,128.988832
엄궁동,25.15,35.130001,128.97058
기장읍,27.26,35.225965,129.20693
장안읍,39.31,35.349667,129.246832
정관읍,30.02,35.337436,129.018792
일광면,38.86,35.287275,129.223075
철마면,42.64,35.281956,129.154436
동인동,26.36,35.867884,128.609112
삼덕동,25.02,35.86556,128.608994
성내1동,20.34,35.868995,128.598058
성내2동,20.97,35.868356,128.59039
성내3동,23.58,35.872562,128.585649
대신동,33.12,35.86715,128.57891
남산1동,24.71,35.859379,128.590435
남산2동,24.26,35.864025,128.589517
남산3동,21.57,35.859899,128.585578
남산4동,22.53,35.858238,128.580495
대봉1동,25.72,35.861671,128.604381
대봉2동,22.95,35.858198,128.599704
신암1동,22.58,35.88427,128.616326
신암2동,20.42,35.880052,128.612716
신암3동,25.7,35.879638,128.623134
신암4동,23.96,35.884978,128.62929
신암5동,19.73,35.889844,128.632784
신천1.2동,22.93,35.874608,128.624878
신천3동,24.56,35.875363,128.623643
신천4동,25.65,35.871791,128.629263
효목1동,23.35,35.881614,128.644835
효목2동,27.57,35.87764,128.638069
도평동,60.13,35.91092,128.654035
불로.봉무동,30.68,35.886576,128.635483
지저동,32.01,35.899837,128.641892
동촌동,24.91,35.886879,128.64964
방촌동,22.16,35.884416,128.66816
해안동,39.89,35.882134,128.671663
안심1동,28.68,35.870397,128.70205
안심2동,34.28,35.875531,128.687078
안심3.4동,-1,35.870472,128.71071
공산동,39.38,35.940185,128.644146
내당1동,25.12,35.860684,128.560726
내당2.3동,25.37,35.867262,128.574481
내당4동,22.3,35.858941,128.551867
비산1동,22.12,35.881231,128.568978
비산2.3동,30.37,35.875787,128.574687
비산4동,28.58,35.869814,128.574289
비산5동,27.26,35.886366,128.569624
비산6동,30.88,35.876346,128.569087
비산7동,31.97,35.888046,128.553509
평리1동,27.16,35.875642,128.563467
평리2동,19.48,35.87127,128.563746
평리3동,22.26,35.875914,128.561265
평리4동,18.86,35.867346,128.556665
평리5동,30.35,35.873818,128.548704
평리6동,24.13,35.875253,128.548259
상중이동,36.63,35.867999,128.544002
원대동,24.61,35.88683,128.574357
이천동,26.8,35.851507,128.602134
봉덕1동,21.65,35.84557,128.597904
봉덕2동,28.14,35.84386,128.601046
봉덕3동,23.4,35.842507,128.595822
대명1동,25.26,35.840328,128.576921
대명2동,25.58,35.855116,128.586639
대명3동,23.59,35.852368,128.579046
대명4동,23.3,35.845987,128.569523
대명5동,21.74,35.84324,128.587846
대명6동,27.69,35.835152,128.566081
대명9동,27.81,35.837289,128.579158
대명10동,28.32,35.840042,128.568883
대명11동,26.63,35.836161,128.560421
고성동,25.86,35.881908,128.583857
칠성동,23.42,35.879243,128.599863
침산1동,34.26,35.890358,128.581161
침산2동,23.9,35.887341,128.597177
침산3동,24.44,35.892201,128.589415
산격1동,30.47,35.892626,128.594669
산격2동,26.01,35.9018,128.609216
산격3동,24.26,35.893548,128.608444
산격4동,23.78,35.892406,128.60437
대현동,22.04,35.884266,128.608141
복현1동,25.85,35.893606,128.618381
복현2동,20.55,35.895417,128.625429
검단동,23.41,35.917235,128.622432
무태조야동,31.43,35.921366,128.597089
관문동,35.3,35.90168,128.542127
태전1동,29.04,35.924091,128.543244
태전2동,24.92,35.921506,128.548811
구암동,37.33,35.932244,128.567437
관음동,28.98,35.944682,128.540149
읍내동,25.51,35.959413,128.543275
동천동,27.19,35.939331,128.559286
노원동,26.64,35.890193,128.576042
국우동,26.7,35.948019,128.587701
범어1동,21.42,35.855533,128.622115
범어2동,21.27,35.860118,128.631263
범어3동,20.96,35.8662,128.617791
범어4동,22.07,35.858145,128.641257
만촌1동,24.77,35.87295,128.646935
만촌2동,27.4,35.859916,128.647194
만촌3동,24.76,35.855509,128.65048
수성1가동,22.66,35.854977,128.610928
수성2.3가동,21.01,35.854676,128.61882
수성4가동,21.78,35.862585,128.616113
황금1동,26.35,35.843984,128.638143
황금2동,26.1,35.841574,128.625172
중동,30.03,35.844687,128.612123
상동,24.55,35.833361,128.611549
파동,45.73,35.812464,128.614155
두산동,25.36,35.828357,128.620652
지산1동,18.59,35.825007,128.637161
지산2동,28.88,35.823172,128.628016
