읍면동,-1,위도,경도
중계2.3동,20.68,37.64204,127.068711
상계1동,26.09,37.679855,127.05502
상계2동,19.32,37.65886,127.068479
상계3.4동,24.21,37.672624,127.08302
상계5동,18.67,37.662994,127.06947
상계6.7동,22.71,37.654919,127.066919
상계8동,26.08,37.666726,127.051548
상계9동,20.32,37.66449,127.063818
상계10동,22.89,37.661245,127.060243
녹번동,20.64,37.605314,126.934567
불광제1동,-1,37.602766,126.928839
불광제2동,-1,37.602766,126.928839
갈현제1동,-1,37.602766,126.928839
갈현제2동,-1,37.602766,126.928839
구산동,18.18,37.611074,126.907302
대조동,19.94,37.612256,126.923141
응암제1동,-1,37.602766,126.928839
응암제2동,-1,37.602766,126.928839
응암제3동,-1,37.602766,126.928839
역촌동,22.96,37.604582,126.914611
신사제1동,-1,37.602766,126.928839
신사제2동,-1,37.602766,126.928839
증산동,23.06,37.584166,126.905952
수색동,23.61,37.585574,126.894529
진관동,22.64,37.639681,126.937804
천연동,20.51,37.567945,126.959437
북아현동,18.79,37.562431,126.954397
충현동,23.05,37.56483,126.954715
신촌동,25.38,37.56555,126.941382
연희동,25.54,37.571987,126.932812
홍제제1동,-1,37.579213,126.936773
홍제제3동,-1,37.579213,126.936773
홍제제2동,-1,37.579213,126.936773
홍은제1동,-1,37.579213,126.936773
홍은제2동,-1,37.579213,126.936773
남가좌제1동,-1,37.579213,126.936773
남가좌제2동,-1,37.579213,126.936773
북가좌제1동,-1,37.579213,126.936773
북가좌제2동,-1,37.579213,126.936773
아현동,20.67,37.554474,126.956308
공덕동,19.6,37.548092,126.954994
도화동,19.68,37.539758,126.950007
용강동,25.22,37.541502,126.940443
대흥동,21.24,37.549807,126.943177
염리동,18.45,37.549096,126.947307
신수동,23.17,37.548524,126.936813
서강동,23.2,37.54778,126.932218
서교동,20.22,37.553838,126.918765
합정동,28.8,37.547027,126.909029
망원제1동,-1,37.566404,126.901763
망원제2동,-1,37.566404,126.901763
연남동,21.04,37.563027,126.921519
성산제1동,-1,37.566404,126.901763
성산제2동,-1,37.566404,126.901763
상암동,27.46,37.570748,126.87984
목1동,26.32,37.530433,126.870985
목2동,23.21,37.546108,126.871631
목3동,23.03,37.544858,126.864408
목4동,21.95,37.532327,126.868343
목5동,24.85,37.535136,126.87854
신월1동,24.62,37.532815,126.83153
신월2동,22.54,37.52497,126.844572
신월3동,24.55,37.533674,126.82905
신월4동,28.57,37.524619,126.840063
신월5동,23.59,37.538566,126.827186
신월6동,26.38,37.516265,126.843631
신월7동,21.23,37.521756,126.834791
신정1동,24.39,37.51855,126.854354
신정2동,22.6,37.519267,126.870723
신정3동,23.54,37.515086,126.854859
신정4동,21.48,37.523422,126.85868
신정6동,19.65,37.517053,126.864399
신정7동,19.74,37.514412,126.8597
염창동,22.71,37.554552,126.871764
등촌제1동,-1,37.550968,126.849614
등촌제2동,-1,37.550968,126.849614
등촌제3동,-1,37.550968,126.849614
화곡제1동,-1,37.550968,126.849614
화곡제2동,-1,37.550968,126.849614
화곡제3동,-1,37.550968,126.849614
화곡제4동,-1,37.550968,126.849614
화곡본동,23.69,37.544092,126.847626
화곡제6동,-1,37.550968,126.849614
화곡제8동,-1,37.550968,126.849614
가양제1동,-1,37.550968,126.849614
가양제2동,-1,37.550968,126.849614
가양제3동,-1,37.550968,126.849614
발산제1동,-1,37.550968,126.849614
우장산동,21.56,37.548198,126.841792
공항동,26.13,37.554779,126.810453
방화제1동,-1,37.550968,126.849614
방화제2동,-1,37.550968,126.849614
방화제3동,-1,37.550968,126.849614
신도림동,21.37,37.509951,126.882174
구로제1동,-1,37.49565,126.887771
구로제2동,-1,37.49565,126.887771
구로제3동,-1,37.49565,126.887771
구로제4동,-1,37.49565,126.887771
구로제5동,-1,37.49565,126.887771
가리봉동,22.07,37.482704,126.888019
고척제1동,-1,37.49565,126.887771
고척제2동,-1,37.49565,126.887771
개봉제1동,-1,37.49565,126.887771
개봉제2동,-1,37.49565,126.887771
개봉제3동,-1,37.49565,126.887771
오류제1동,-1,37.49565,126.887771
오류제2동,-1,37.49565,126.887771
수궁동,22.65,37.493837,126.831527
가산동,19.86,37.476681,126.883767
독산제1동,-1,37.456979,126.895656
독산제2동,-1,37.456979,126.895656
독산제3동,-1,37.456979,126.895656
독산제4동,-1,37.456979,126.895656
시흥제1동,-1,37.456979,126.895656
시흥제2동,-1,37.456979,126.895656
시흥제3동,-1,37.456979,126.895656
시흥제4동,-1,37.456979,126.895656
시흥제5동,-1,37.456979,126.895656
영등포본동,22.61,37.514692,126.909387
영등포동,23.03,37.513786,126.906901
여의동,26.58,37.517598,126.934571
당산제1동,-1,37.52641,126.896252
당산제2동,-1,37.52641,126.896252
도림동,23.05,37.509105,126.900533
문래동,21.73,37.517141,126.899454
양평제1동,-1,37.52641,126.896252
양평제2동,-1,37.52641,126.896252
신길제1동,-1,37.52641,126.896252
신길제3동,-1,37.52641,126.896252
신길제4동,-1,37.52641,126.896252
신길제5동,-1,37.52641,126.896252
신길제6동,-1,37.52641,126.896252
신길제7동,-1,37.52641,126.896252
대림제1동,-1,37.52641,126.896252
대림제2동,-1,37.52641,126.896252
대림제3동,-1,37.52641,126.896252
노량진제1동,-1,37.512462,126.939485
노량진제2동,-1,37.512462,126.939485
상도제1동,-1,37.512462,126.939485
상도제2동,-1,37.512462,126.939485
